time,datetime,Blue,Green,Red,NIR,visnirAlbedo,std3,std5,std9,std15,satellite,Albedo_theta<70d,Year,MonthOfYear,DayOfMonth,HourOfDay(UTC),CloudCover,Station
1593270843885,2020-06-27 15:14:03.885,0.6534966826438904,0.6238247156143188,0.5977770686149597,0.3917033970355987,0.4106279637128115,0.032776816950457,0.0390815534350443,0.0448980911767571,0.0434248229249784,Sentinel2,0.493,2020.0,6.0,27.0,15.0,0.15,KAN_L
1593355357603,2020-06-28 14:42:37.603,0.7278774976730347,0.6752424836158752,0.6204075217247009,0.381707489490509,0.4859959214508534,0.0385041537813201,0.0408497383017947,0.0492214602838979,0.0472721143372853,Landsat,0.498,2020.0,6.0,28.0,15.0,0.17,KAN_L
1593443042993,2020-06-29 15:04:02.993,0.6402609348297119,0.6037036776542664,0.5687277913093567,0.3629775643348694,0.4248576414287091,0.0386372490855898,0.0436183415109329,0.0469610320049194,0.0444647578946527,Sentinel2,0.489,2020.0,6.0,29.0,15.0,0.15,KAN_L
1593530640290,2020-06-30 15:24:00.290,0.681812584400177,0.6492406725883484,0.6251049637794495,0.4119736552238464,0.41506469848156,0.0322500524318147,0.0380348596882295,0.0433629715027532,0.0420157349967957,Sentinel2,0.5,2020.0,6.0,30.0,15.0,0.22,KAN_L
1593702840810,2020-07-02 15:14:00.810,0.6357043385505676,0.5995736122131348,0.5625951290130615,0.3261436223983764,0.3832084788382052,0.0350868837240688,0.04168406904318,0.0467558131551731,0.0443923675426708,Sentinel2,0.479,2020.0,7.0,2.0,15.0,0.09,KAN_L
1593875045235,2020-07-04 15:04:05.235,0.6959162950515747,0.6648079752922058,0.6502810120582581,0.5092708468437195,0.5029746201694014,0.0301772793379792,0.048825693307445,0.0580635742583159,0.0773961286518103,Sentinel2,0.491,2020.0,7.0,4.0,15.0,0.38,KAN_L
1594565704998,2020-07-12 14:55:04.998,0.7645074725151062,0.7145950198173523,0.6673225164413452,0.4261200129985809,0.4879424678891896,0.0142355476057906,0.0181533948531344,0.0231411294194825,0.0233901816963281,Landsat,0.537,2020.0,7.0,12.0,15.0,0.11,KAN_L
1594566840134,2020-07-12 15:14:00.134,0.7673026919364929,0.7250651121139526,0.6786847710609436,0.4521666467189789,0.5073353965491059,0.028804866008198,0.0298553670525446,0.032283438877839,0.0326708582544651,Sentinel2,0.537,2020.0,7.0,12.0,15.0,0.11,KAN_L
1594737764041,2020-07-14 14:42:44.041,0.8222575187683105,0.7567800283432007,0.6925399899482727,0.4119850099086761,0.5133370285660027,0.032220131750253,0.0349991676036657,0.0392353055756436,0.0346931835438649,Landsat,0.523,2020.0,7.0,14.0,15.0,0.2,KAN_L
1594739045144,2020-07-14 15:04:05.144,0.7895431518554688,0.750481128692627,0.7041835784912109,0.4517033398151397,0.4846075377196071,0.032840424321585,0.0372606400589835,0.0398413551167752,0.039785320484881,Sentinel2,0.523,2020.0,7.0,14.0,15.0,0.2,KAN_L
1594998843396,2020-07-17 15:14:03.396,0.7282463312149048,0.6921302080154419,0.6389840245246887,0.3815103471279144,0.4533276315718886,0.0320560081718068,0.0342092750118759,0.0359776950900637,0.0363537179994504,Sentinel2,0.494,2020.0,7.0,17.0,15.0,0.17,KAN_L
1595342937081,2020-07-21 14:48:57.081,0.6118274927139282,0.546019971370697,0.4601649940013885,0.2290000021457672,0.4969255833715199,0.0158070891308913,0.018130997557902,0.0187726626967245,0.0186990508166168,Landsat,,,,,,,
1595430840519,2020-07-22 15:14:00.519,0.7240151762962341,0.6711620092391968,0.5859422087669373,0.2788849771022796,0.4600627208203078,0.0374455770445749,0.0364276875572922,0.0366542516690839,0.0362765878703809,Sentinel2,0.449,2020.0,7.0,22.0,15.0,0.32,KAN_L
1596035043248,2020-07-29 15:04:03.248,0.8329391479492188,0.7770619988441467,0.6988040804862976,0.4371087551116943,0.5795026733636854,0.0475508107661779,0.0426712300186683,0.0412009891618836,0.0400832229274837,Sentinel2,0.507,2020.0,7.0,29.0,15.0,0.13,KAN_L
1596120168500,2020-07-30 14:42:48.500,0.9032174944877625,0.8216524720191956,0.731095016002655,0.4084374904632568,0.5727236558258533,0.030456258970861,0.0321377475610551,0.0310652527273565,0.0308790374029681,Landsat,0.508,2020.0,7.0,30.0,15.0,0.16,KAN_L
1596122640987,2020-07-30 15:24:00.987,0.84552401304245,0.7898759245872498,0.718062698841095,0.4433635771274566,0.5538204941421748,0.0495540751762441,0.0482270169818335,0.041902226234537,0.0422348618782849,Sentinel2,0.508,2020.0,7.0,30.0,15.0,0.16,KAN_L
1597158841941,2020-08-11 15:14:01.941,0.9911175966262816,0.9561389088630676,0.96369069814682,0.8747144937515259,0.7180560486555101,0.0425999752285354,0.0428215705567698,0.0450088166119373,0.0420997471982761,Sentinel2,0.725,2020.0,8.0,11.0,15.0,0.01,KAN_L
1597330513258,2020-08-13 14:55:13.258,0.9892650246620178,0.913117527961731,0.8720874786376953,0.6184275150299072,0.6067530209004878,0.0266134841900827,0.0272000807602398,0.029654669994418,0.034473224836155,Landsat,0.582,2020.0,8.0,13.0,15.0,0.14,KAN_L
1597331046502,2020-08-13 15:04:06.502,0.9537970423698424,0.9162145853042604,0.8856879472732544,0.6776876449584961,0.6173347088396545,0.0595614798691591,0.053799761201658,0.0520015440022732,0.0528234740270759,Sentinel2,0.582,2020.0,8.0,13.0,15.0,0.14,KAN_L
1597590844371,2020-08-16 15:14:04.371,0.9272169470787048,0.8837032914161682,0.8552399277687073,0.6813942193984985,0.6440022871673111,0.0694275273302303,0.0671841302294382,0.0614447356163319,0.060254698335861,Sentinel2,0.611,2020.0,8.0,16.0,15.0,0.0,KAN_L
